編號,日期,星期,總運量,資料更新時間
1,20240801,星期四,40782,20240907T090000
2,20240802,星期五,49208,20240907T090000
3,20240803,星期六,42626,20240907T090000
4,20240804,星期日,36004,20240907T090000
5,20240805,星期一,39675,20240907T090000
6,20240806,星期二,40609,20240907T090000
7,20240807,星期三,41806,20240907T090000
8,20240808,星期四,40146,20240907T090000
9,20240809,星期五,50891,20240907T090000
10,20240810,星期六,44348,20240907T090000
11,20240811,星期日,38592,20240907T090000
12,20240812,星期一,40129,20240907T090000
13,20240813,星期二,39900,20240907T090000
14,20240814,星期三,40390,20240907T090000
15,20240815,星期四,41556,20240907T090000
16,20240816,星期五,48675,20240907T090000
17,20240817,星期六,45114,20240907T090000
18,20240818,星期日,31866,20240907T090000
19,20240819,星期一,42481,20240907T090000
20,20240820,星期二,40117,20240907T090000
21,20240821,星期三,40434,20240907T090000
22,20240822,星期四,40481,20240907T090000
23,20240823,星期五,48376,20240907T090000
24,20240824,星期六,44544,20240907T090000
25,20240825,星期日,41911,20240907T090000
26,20240826,星期一,38957,20240907T090000
27,20240827,星期二,40137,20240907T090000
28,20240828,星期三,40330,20240907T090000
29,20240829,星期四,37718,20240907T090000
30,20240830,星期五,47469,20240907T090000
31,20240831,星期六,40728,20240907T090000
1,20240901,星期日,33296,20241007T090000
2,20240902,星期一,39195,20241007T090000
3,20240903,星期二,39548,20241007T090000
4,20240904,星期三,40959,20241007T090000
5,20240905,星期四,40708,20241007T090000
6,20240906,星期五,48327,20241007T090000
7,20240907,星期六,41387,20241007T090000
8,20240908,星期日,38051,20241007T090000
9,20240909,星期一,40788,20241007T090000
10,20240910,星期二,40316,20241007T090000
11,20240911,星期三,41249,20241007T090000
12,20240912,星期四,42547,20241007T090000
13,20240913,星期五,55664,20241007T090000
14,20240914,星期六,41893,20241007T090000
15,20240915,星期日,40248,20241007T090000
16,20240916,星期一,45211,20241007T090000
17,20240917,星期二,35378,20241007T090000
18,20240918,星期三,42603,20241007T090000
19,20240919,星期四,41252,20241007T090000
20,20240920,星期五,51312,20241007T090000
21,20240921,星期六,42002,20241007T090000
22,20240922,星期日,37095,20241007T090000
23,20240923,星期一,41126,20241007T090000
24,20240924,星期二,40904,20241007T090000
25,20240925,星期三,41758,20241007T090000
26,20240926,星期四,42711,20241007T090000
27,20240927,星期五,55380,20241007T090000
28,20240928,星期六,67593,20241007T090000
29,20240929,星期日,41751,20241007T090000
30,20240930,星期一,42213,20241007T090000
