編號,日期,星期,總運量,資料更新時間
1,20240901,星期日,33296,20241007T090000
2,20240902,星期一,39195,20241007T090000
3,20240903,星期二,39548,20241007T090000
4,20240904,星期三,40959,20241007T090000
5,20240905,星期四,40708,20241007T090000
6,20240906,星期五,48327,20241007T090000
7,20240907,星期六,41387,20241007T090000
8,20240908,星期日,38051,20241007T090000
9,20240909,星期一,40788,20241007T090000
10,20240910,星期二,40316,20241007T090000
11,20240911,星期三,41249,20241007T090000
12,20240912,星期四,42547,20241007T090000
13,20240913,星期五,55664,20241007T090000
14,20240914,星期六,41893,20241007T090000
15,20240915,星期日,40248,20241007T090000
16,20240916,星期一,45211,20241007T090000
17,20240917,星期二,35378,20241007T090000
18,20240918,星期三,42603,20241007T090000
19,20240919,星期四,41252,20241007T090000
20,20240920,星期五,51312,20241007T090000
21,20240921,星期六,42002,20241007T090000
22,20240922,星期日,37095,20241007T090000
23,20240923,星期一,41126,20241007T090000
24,20240924,星期二,40904,20241007T090000
25,20240925,星期三,41758,20241007T090000
26,20240926,星期四,42711,20241007T090000
27,20240927,星期五,55380,20241007T090000
28,20240928,星期六,67593,20241007T090000
29,20240929,星期日,41751,20241007T090000
30,20240930,星期一,42213,20241007T090000
