"事件時間","事件細目"
"2024-09-09T05:43:11Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T03:21:41Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T17:03:10Z","{""服務項目"":""POS"",""機器人數量"":2""部門"":"台中"}"
"2024-09-09T05:13:11Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-08T15:10:10Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-09T05:37:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T07:10:47Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T12:42:11Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T00:39:41Z","{""服務項目"":""POS"",""機器人數量"":13""部門"":"台中"}"
"2024-09-09T06:43:10Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T03:57:41Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T04:45:32Z","{""服務項目"":""POS"",""機器人數量"":18""部門"":"台中"}"
"2024-09-08T06:50:11Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T12:45:10Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-09T04:43:10Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-10T03:20:41Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-09T12:20:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T04:08:41Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T04:10:41Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T22:53:41Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-08T22:54:41Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-09T11:41:10Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T12:26:11Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-08T23:27:41Z","{""服務項目"":""POS"",""機器人數量"":9""部門"":"台中"}"
"2024-09-09T03:24:41Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-08T12:24:11Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-10T15:55:10Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-11T12:14:32Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T22:07:41Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T12:22:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T17:23:10Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T05:57:32Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T22:34:57Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-10T13:22:10Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-08T22:06:41Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-10T05:36:11Z","{""服務項目"":""POS"",""機器人數量"":9""部門"":"台中"}"
