編號,日期,星期,總運量,資料更新時間
1,20240601,星期六,42363,20240707T090000
2,20240602,星期日,32900,20240707T090000
3,20240603,星期一,40136,20240707T090000
4,20240604,星期二,38065,20240707T090000
5,20240605,星期三,40581,20240707T090000
6,20240606,星期四,39414,20240707T090000
7,20240607,星期五,54385,20240707T090000
8,20240608,星期六,43837,20240707T090000
9,20240609,星期日,36470,20240707T090000
10,20240610,星期一,35480,20240707T090000
11,20240611,星期二,41174,20240707T090000
12,20240612,星期三,39556,20240707T090000
13,20240613,星期四,42128,20240707T090000
14,20240614,星期五,45993,20240707T090000
15,20240615,星期六,45204,20240707T090000
16,20240616,星期日,36825,20240707T090000
17,20240617,星期一,39195,20240707T090000
18,20240618,星期二,39190,20240707T090000
19,20240619,星期三,41209,20240707T090000
20,20240620,星期四,40407,20240707T090000
21,20240621,星期五,48001,20240707T090000
22,20240622,星期六,43000,20240707T090000
23,20240623,星期日,36518,20240707T090000
24,20240624,星期一,40787,20240707T090000
25,20240625,星期二,39785,20240707T090000
26,20240626,星期三,39877,20240707T090000
27,20240627,星期四,42366,20240707T090000
28,20240628,星期五,53993,20240707T090000
29,20240629,星期六,42458,20240707T090000
30,20240630,星期日,44635,20240707T090000
